,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,7
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,8
81,8
82,8
83,8
84,8
85,8
86,8
87,8
88,8
89,8
90,9
91,9
92,9
93,9
94,9
95,9
96,9
97,9
98,9
99,9
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,11
111,11
112,11
113,11
114,11
115,11
116,11
117,11
118,11
119,11
120,12
121,12
122,12
123,12
124,12
125,12
126,12
127,12
128,12
129,12
130,13
131,13
132,13
133,13
134,13
135,13
136,13
137,13
138,13
139,13
140,14
141,14
142,14
143,14
144,14
145,14
146,14
147,14
148,14
149,14
150,15
151,15
152,15
153,15
154,15
155,15
156,15
157,15
158,15
159,15
160,16
161,16
162,16
163,16
164,16
165,16
166,16
167,16
168,16
169,16
170,17
171,17
172,17
173,17
174,17
175,17
176,17
177,17
178,17
179,17
180,18
181,18
182,18
183,18
184,18
185,18
186,18
187,18
188,18
189,18
190,19
191,19
192,19
193,19
194,19
195,19
196,19
197,19
198,19
199,19
200,20
201,20
202,20
203,20
204,20
205,20
206,20
207,20
208,20
209,20
210,21
211,21
212,21
213,21
214,21
215,21
216,21
217,21
218,21
219,21
220,22
221,22
222,22
223,22
224,22
225,22
226,22
227,22
228,22
229,22
230,23
231,23
232,23
233,23
234,23
235,23
236,23
237,23
238,23
239,23
240,24
241,24
242,24
243,24
244,24
245,24
246,24
247,24
248,24
249,24
250,25
251,25
252,25
253,25
254,25
255,25
256,25
257,25
258,25
259,25
260,26
261,26
262,26
263,26
264,26
265,26
266,26
267,26
268,26
269,26
270,27
271,27
272,27
273,27
274,27
275,27
276,27
277,27
278,27
279,27
280,28
281,28
282,28
283,28
284,28
285,28
286,28
287,28
288,28
289,28
290,29
291,29
292,29
293,29
294,29
295,29
296,29
297,29
298,29
299,29
300,30
301,30
302,30
303,30
304,30
305,30
306,30
307,30
308,30
309,30
310,31
311,31
312,31
313,31
314,31
315,31
316,31
317,31
318,31
319,31
320,32
321,32
322,32
323,32
324,32
325,32
326,32
327,32
328,32
329,32
330,33
331,33
332,33
333,33
334,33
335,33
336,33
337,33
338,33
339,33
340,34
341,34
342,34
343,34
344,34
345,34
346,34
347,34
348,34
349,34
350,35
351,35
352,35
353,35
354,35
355,35
356,35
357,35
358,35
359,35
360,36
361,36
362,36
363,36
364,36
365,36
366,36
367,36
368,36
369,36
370,37
371,37
372,37
373,37
374,37
375,37
376,37
377,37
378,37
379,37
380,38
381,38
382,38
383,38
384,38
385,38
386,38
387,38
388,38
389,38
390,39
391,39
392,39
393,39
394,39
395,39
396,39
397,39
398,39
399,39
